iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,rho,maxabsLagmult
0,0.0,0.7968133042299976,7.529898907871221e-16,2.9706561933225855,1.6856747149176856,2.446078284604361,0.0,0.0,0.0,0.0,1.0,1.0
1,0.47536206245422363,0.7925427514392923,0.3093078775148971,0.7425328133626963,0.020037848904056913,0.7398869819049408,0.0,0.0,0.056545674146215086,0.0046578961283784415,1.0,1.0565456741462151
2,0.7843091487884521,0.7856589082855329,1.1791266620795302,0.5614177214257858,0.026332919808423273,0.3355867504296439,0.0,0.0,0.34009612347943957,0.039607246073543774,3.3333333333333335,0.6303883462144666
3,0.9946713447570801,0.7800251156366923,1.2042774424283873,0.0573318800140473,0.05711733629018731,0.002064396310262211,0.0,0.0,0.004476541688037017,0.0003112334337120777,3.3333333333333335,0.020151016524103185
4,1.1985116004943848,0.7773651810169773,0.16029252835787172,0.03433394544760362,0.03431127215196614,9.249991374429691e-06,0.0,0.0,0.0012475286571434485,7.797054107146553e-05,3.3333333333333335,0.005835739694998917
5,1.4050054550170898,0.7743149933428611,0.1603240950336116,0.030772811529549183,0.030756312245192808,3.4293317747911247e-06,0.0,0.0,0.0008017381630312514,8.824852300908306e-05,3.3333333333333335,0.005110896717075431
6,1.6027286052703857,0.7707112332302707,0.17042049849358665,0.07618139631181506,0.07597412666986011,9.846634384055954e-05,0.0,0.0,0.005419680599719978,0.0004376627932040182,11.111111111111112,0.018065601999066594
7,1.7930631637573242,0.769412736761358,0.05841929149908151,0.0880828531898185,0.08807945444200727,1.0144059582175402e-05,0.0,0.0,0.000660174932183788,6.647853426193853e-05,11.111111111111112,0.015976293711167502
8,1.9858334064483643,0.768103630074178,0.056032071886401635,0.03540434227168549,0.035401617324961575,4.140064215886096e-06,0.0,0.0,0.0004392326576029282,2.745204110018301e-05,37.037037037037045,0.005044188764063429
9,2.1785576343536377,0.767665150137273,0.01776532953273738,0.03618559967244821,0.036185535644274736,2.4869111912700806e-07,0.0,0.0,6.169655490118053e-05,5.653672967328993e-06,37.037037037037045,0.006109455896510961
